Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,75,12025,8496,5737,1429,1920,274,1609,10728,243,1375
C:\A\C_Programme\VC++\Win32Project1\Win32Project1,75,12025,8496,5737,1429,1920,274,1609,10728,243,1375
