Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,90,13173,9241,6250,1508,2112,309,1820,11522,243,1375
C:\A\C_Programme\VC++\Win32Project1\Win32Project1,90,13173,9241,6250,1508,2112,309,1820,11522,243,1375
